ac,de,prem,loss
1,0,4711,1376
1,1,4711,1211
1,2,4711,536
1,3,4711,314
1,4,4711,168
1,5,4711,80
1,6,4711,39
1,7,4711,15
1,8,4711,11
1,9,4711,4
2,0,5336,1576
2,1,5336,1437
2,2,5336,652
2,3,5336,343
2,4,5336,189
2,5,5336,77
2,6,5336,35
2,7,5336,17
2,8,5336,13
2,9,5336,0
3,0,5948,1763
3,1,5948,1540
3,2,5948,679
3,3,5948,364
3,4,5948,177
3,5,5948,78
3,6,5948,47
3,7,5948,25
3,8,5948,0
3,9,5948,0
4,0,6354,1780
4,1,6354,1499
4,2,6354,661
4,3,6354,321
4,4,6354,163
4,5,6354,85
4,6,6354,53
4,7,6354,0
4,8,6354,0
4,9,6354,0
5,0,6738,1843
5,1,6738,1574
5,2,6738,613
5,3,6738,299
5,4,6738,177
5,5,6738,106
5,6,6738,0
5,7,6738,0
5,8,6738,0
5,9,6738,0
6,0,7079,1962
6,1,7079,1520
6,2,7079,582
6,3,7079,347
6,4,7079,238
6,5,7079,0
6,6,7079,0
6,7,7079,0
6,8,7079,0
6,9,7079,0
7,0,7255,2033
7,1,7255,1431
7,2,7255,634
7,3,7255,432
7,4,7255,0
7,5,7255,0
7,6,7255,0
7,7,7255,0
7,8,7255,0
7,9,7255,0
8,0,7739,2072
8,1,7739,1459
8,2,7739,727
8,3,7739,0
8,4,7739,0
8,5,7739,0
8,6,7739,0
8,7,7739,0
8,8,7739,0
8,9,7739,0
9,0,8154,2211
9,1,8154,1518
9,2,8154,0
9,3,8154,0
9,4,8154,0
9,5,8154,0
9,6,8154,0
9,7,8154,0
9,8,8154,0
9,9,8154,0
10,0,8436,2207
10,1,8436,0
10,2,8436,0
10,3,8436,0
10,4,8436,0
10,5,8436,0
10,6,8436,0
10,7,8436,0
10,8,8436,0
10,9,8436,0
